2025-12-22 08:00:01,773 | INFO | SYSTEM | epoch=68 time=222.59s lr=6.25e-06 grad_norm=89.717245 mask_ratio_lastbatch=0.041377 cuda_mem_alloc_mb=845.38 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:03:57,535 | INFO | SYSTEM | epoch=69 time=235.76s lr=3.125e-06 grad_norm=90.054005 mask_ratio_lastbatch=0.015734 cuda_mem_alloc_mb=845.74 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:07:45,893 | INFO | SYSTEM | epoch=70 time=228.36s lr=3.125e-06 grad_norm=91.126489 mask_ratio_lastbatch=0.007932 cuda_mem_alloc_mb=846.40 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:11:34,573 | INFO | SYSTEM | epoch=71 time=228.68s lr=3.125e-06 grad_norm=92.134255 mask_ratio_lastbatch=0.009247 cuda_mem_alloc_mb=846.36 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:15:18,139 | INFO | SYSTEM | epoch=72 time=223.56s lr=3.125e-06 grad_norm=93.693813 mask_ratio_lastbatch=0.013318 cuda_mem_alloc_mb=845.44 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:19:11,666 | INFO | SYSTEM | epoch=73 time=233.53s lr=3.125e-06 grad_norm=93.973722 mask_ratio_lastbatch=0.006038 cuda_mem_alloc_mb=846.19 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:22:48,634 | INFO | SYSTEM | epoch=74 time=216.97s lr=3.125e-06 grad_norm=95.384794 mask_ratio_lastbatch=0.008844 cuda_mem_alloc_mb=846.32 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:26:40,779 | INFO | SYSTEM | epoch=75 time=232.14s lr=3.125e-06 grad_norm=95.743421 mask_ratio_lastbatch=0.085938 cuda_mem_alloc_mb=845.34 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:30:26,212 | INFO | SYSTEM | epoch=76 time=225.43s lr=3.125e-06 grad_norm=97.241930 mask_ratio_lastbatch=0.018750 cuda_mem_alloc_mb=845.39 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:33:56,245 | INFO | SYSTEM | epoch=77 time=210.03s lr=3.125e-06 grad_norm=97.993553 mask_ratio_lastbatch=0.008498 cuda_mem_alloc_mb=846.35 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:37:35,414 | INFO | SYSTEM | epoch=78 time=219.17s lr=3.125e-06 grad_norm=99.023618 mask_ratio_lastbatch=0.008320 cuda_mem_alloc_mb=845.95 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:41:15,443 | INFO | SYSTEM | epoch=79 time=220.03s lr=1.5625e-06 grad_norm=100.015949 mask_ratio_lastbatch=0.007812 cuda_mem_alloc_mb=846.83 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
2025-12-22 08:44:53,180 | INFO | SYSTEM | epoch=80 time=217.74s lr=1.5625e-06 grad_norm=100.887577 mask_ratio_lastbatch=0.009825 cuda_mem_alloc_mb=847.22 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6273.00
