INFO | SYSTEM | epoch=64 time=10.48s lr=1e-05 grad_norm=0.158424 mask_ratio_lastbatch=0.149023 cuda_mem_alloc_mb=217.94 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=65 time=10.49s lr=1e-05 grad_norm=0.211534 mask_ratio_lastbatch=0.155090 cuda_mem_alloc_mb=217.63 cuda_mem_reserved_mb=1888.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=66 time=10.61s lr=1e-05 grad_norm=0.156629 mask_ratio_lastbatch=0.147695 cuda_mem_alloc_mb=217.87 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=67 time=10.54s lr=1e-05 grad_norm=0.373631 mask_ratio_lastbatch=0.140907 cuda_mem_alloc_mb=217.81 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=68 time=10.39s lr=1e-05 grad_norm=0.149548 mask_ratio_lastbatch=0.149950 cuda_mem_alloc_mb=217.86 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=69 time=8.93s lr=1e-05 grad_norm=0.075352 mask_ratio_lastbatch=0.148536 cuda_mem_alloc_mb=217.55 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=70 time=8.90s lr=1e-05 grad_norm=0.133164 mask_ratio_lastbatch=0.145768 cuda_mem_alloc_mb=217.85 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=71 time=10.14s lr=1e-05 grad_norm=0.192146 mask_ratio_lastbatch=0.136905 cuda_mem_alloc_mb=217.82 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=72 time=8.67s lr=1e-05 grad_norm=0.191383 mask_ratio_lastbatch=0.125265 cuda_mem_alloc_mb=217.80 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=73 time=8.88s lr=1e-05 grad_norm=0.246931 mask_ratio_lastbatch=0.145774 cuda_mem_alloc_mb=217.66 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=74 time=10.32s lr=1e-05 grad_norm=0.335278 mask_ratio_lastbatch=0.134549 cuda_mem_alloc_mb=217.81 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
INFO | SYSTEM | epoch=75 time=10.51s lr=1e-05 grad_norm=0.215688 mask_ratio_lastbatch=0.137712 cuda_mem_alloc_mb=217.74 cuda_mem_reserved_mb=1890.00 cuda_mem_max_alloc_mb=763.05
