INFO | SYSTEM | epoch=168 time=32.64s lr=1e-06mask_ratio_lastbatch=0.164085
INFO | SYSTEM | epoch=169 time=32.64s lr=1e-06mask_ratio_lastbatch=0.159512
INFO | SYSTEM | epoch=170 time=37.67s lr=1e-06mask_ratio_lastbatch=0.164665
INFO | SYSTEM | epoch=171 time=32.91s lr=1e-06mask_ratio_lastbatch=0.176341
INFO | SYSTEM | epoch=172 time=32.53s lr=1e-06mask_ratio_lastbatch=0.173049
INFO | SYSTEM | epoch=173 time=32.60s lr=1e-06mask_ratio_lastbatch=0.172378
INFO | SYSTEM | epoch=174 time=32.67s lr=1e-06mask_ratio_lastbatch=0.161585
INFO | SYSTEM | epoch=175 time=32.64s lr=1e-06mask_ratio_lastbatch=0.181128
INFO | SYSTEM | epoch=176 time=32.60s lr=1e-06mask_ratio_lastbatch=0.142500
INFO | SYSTEM | epoch=177 time=32.64s lr=1e-06mask_ratio_lastbatch=0.175793
INFO | SYSTEM | epoch=178 time=32.53s lr=1e-06mask_ratio_lastbatch=0.168445
INFO | SYSTEM | epoch=179 time=32.68s lr=1e-06mask_ratio_lastbatch=0.171280
INFO | SYSTEM | epoch=180 time=32.58s lr=1e-06mask_ratio_lastbatch=0.171372
INFO | SYSTEM | epoch=181 time=32.74s lr=1e-06mask_ratio_lastbatch=0.166494
INFO | SYSTEM | epoch=182 time=32.62s lr=1e-06mask_ratio_lastbatch=0.175854
INFO | SYSTEM | epoch=183 time=32.52s lr=1e-06mask_ratio_lastbatch=0.173384
INFO | SYSTEM | epoch=184 time=32.59s lr=1e-06mask_ratio_lastbatch=0.164238
INFO | SYSTEM | epoch=185 time=32.65s lr=1e-06mask_ratio_lastbatch=0.173841
INFO | SYSTEM | epoch=186 time=32.56s lr=1e-06mask_ratio_lastbatch=0.180427
INFO | SYSTEM | epoch=187 time=32.65s lr=1e-06mask_ratio_lastbatch=0.174268
INFO | SYSTEM | epoch=188 time=32.76s lr=1e-06mask_ratio_lastbatch=0.174695
INFO | SYSTEM | epoch=189 time=32.66s lr=1e-06mask_ratio_lastbatch=0.177287
INFO | SYSTEM | epoch=190 time=32.73s lr=1e-06mask_ratio_lastbatch=0.182866
INFO | SYSTEM | epoch=191 time=32.72s lr=1e-06mask_ratio_lastbatch=0.163445
INFO | SYSTEM | epoch=192 time=32.54s lr=1e-06mask_ratio_lastbatch=0.170732
INFO | SYSTEM | epoch=193 time=32.80s lr=1e-06mask_ratio_lastbatch=0.176280
INFO | SYSTEM | epoch=194 time=32.59s lr=1e-06mask_ratio_lastbatch=0.180793
INFO | SYSTEM | epoch=195 time=32.67s lr=1e-06mask_ratio_lastbatch=0.178018
INFO | SYSTEM | epoch=196 time=32.66s lr=1e-06mask_ratio_lastbatch=0.171768
INFO | SYSTEM | epoch=197 time=32.52s lr=1e-06mask_ratio_lastbatch=0.169909
INFO | SYSTEM | epoch=198 time=32.48s lr=1e-06mask_ratio_lastbatch=0.179543
INFO | SYSTEM | epoch=199 time=32.58s lr=1e-06mask_ratio_lastbatch=0.171860
INFO | SYSTEM | epoch=200 time=32.67s lr=1e-06mask_ratio_lastbatch=0.165610
INFO | SYSTEM | epoch=201 time=32.59s lr=1e-06mask_ratio_lastbatch=0.166585
INFO | SYSTEM | epoch=202 time=32.65s lr=1e-06mask_ratio_lastbatch=0.166128
INFO | SYSTEM | epoch=203 time=32.59s lr=1e-06mask_ratio_lastbatch=0.160518
INFO | SYSTEM | epoch=204 time=32.54s lr=1e-06mask_ratio_lastbatch=0.176555
INFO | SYSTEM | epoch=205 time=32.44s lr=1e-06mask_ratio_lastbatch=0.165000
INFO | SYSTEM | epoch=206 time=32.74s lr=1e-06mask_ratio_lastbatch=0.174512
INFO | SYSTEM | epoch=207 time=32.50s lr=1e-06mask_ratio_lastbatch=0.182530
INFO | SYSTEM | epoch=208 time=32.51s lr=1e-06mask_ratio_lastbatch=0.168079
INFO | SYSTEM | epoch=209 time=32.61s lr=1e-06mask_ratio_lastbatch=0.155183
INFO | SYSTEM | epoch=210 time=32.43s lr=1e-06mask_ratio_lastbatch=0.159146
INFO | SYSTEM | epoch=211 time=32.93s lr=1e-06mask_ratio_lastbatch=0.175884
INFO | SYSTEM | epoch=212 time=32.88s lr=1e-06mask_ratio_lastbatch=0.165671
INFO | SYSTEM | epoch=213 time=32.69s lr=1e-06mask_ratio_lastbatch=0.173628
INFO | SYSTEM | epoch=214 time=32.71s lr=1e-06mask_ratio_lastbatch=0.167012
