2025-12-22 02:05:30,369 | INFO | SYSTEM | epoch=51 time=3.09s lr=0.000125 grad_norm=7.404286 mask_ratio_lastbatch=0.231889 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:33,482 | INFO | SYSTEM | epoch=52 time=3.11s lr=0.000125 grad_norm=7.469393 mask_ratio_lastbatch=0.228930 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:36,604 | INFO | SYSTEM | epoch=53 time=3.12s lr=0.000125 grad_norm=7.410972 mask_ratio_lastbatch=0.227036 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:39,683 | INFO | SYSTEM | epoch=54 time=3.08s lr=0.000125 grad_norm=7.407112 mask_ratio_lastbatch=0.225142 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:42,829 | INFO | SYSTEM | epoch=55 time=3.14s lr=0.000125 grad_norm=7.427991 mask_ratio_lastbatch=0.232008 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:45,944 | INFO | SYSTEM | epoch=56 time=3.11s lr=0.000125 grad_norm=7.406013 mask_ratio_lastbatch=0.230587 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:49,347 | INFO | SYSTEM | epoch=57 time=3.11s lr=0.000125 grad_norm=7.424262 mask_ratio_lastbatch=0.227628 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:52,969 | INFO | SYSTEM | epoch=58 time=3.62s lr=6.25e-05 grad_norm=7.399767 mask_ratio_lastbatch=0.231416 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:56,103 | INFO | SYSTEM | epoch=59 time=3.13s lr=6.25e-05 grad_norm=7.432988 mask_ratio_lastbatch=0.229877 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:05:59,567 | INFO | SYSTEM | epoch=60 time=3.12s lr=6.25e-05 grad_norm=7.440643 mask_ratio_lastbatch=0.229285 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:06:02,671 | INFO | SYSTEM | epoch=61 time=3.10s lr=6.25e-05 grad_norm=7.473207 mask_ratio_lastbatch=0.231771 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:06:05,774 | INFO | SYSTEM | epoch=62 time=3.10s lr=6.25e-05 grad_norm=7.451042 mask_ratio_lastbatch=0.227628 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
2025-12-22 02:06:08,866 | INFO | SYSTEM | epoch=63 time=3.09s lr=6.25e-05 grad_norm=7.415892 mask_ratio_lastbatch=0.225379 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
2025-12-22 02:06:11,993 | INFO | SYSTEM | epoch=64 time=3.13s lr=6.25e-05 grad_norm=7.459294 mask_ratio_lastbatch=0.222538 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
2025-12-22 02:06:15,395 | INFO | SYSTEM | epoch=65 time=3.40s lr=6.25e-05 grad_norm=7.452614 mask_ratio_lastbatch=0.225643 cuda_mem_alloc_mb=95.46 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
2025-12-22 02:06:18,496 | INFO | SYSTEM | epoch=66 time=3.10s lr=6.25e-05 grad_norm=7.464039 mask_ratio_lastbatch=0.230232 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
2025-12-22 02:06:21,622 | INFO | SYSTEM | epoch=67 time=3.13s lr=6.25e-05 grad_norm=7.434209 mask_ratio_lastbatch=0.231297 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
2025-12-22 02:06:24,750 | INFO | SYSTEM | epoch=68 time=3.13s lr=3.125e-05 grad_norm=7.432926 mask_ratio_lastbatch=0.228338 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
2025-12-22 02:06:27,847 | INFO | SYSTEM | epoch=69 time=3.10s lr=3.125e-05 grad_norm=7.449165 mask_ratio_lastbatch=0.231179 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1942.00 cuda_mem_max_alloc_mb=732.51
